This table lists all knockdown/RNA-seq ENCODE experiments examined while
looking for LARS splicing regulators. The File column shows the rMATS
differential splicing quantifications file accession from each experiment.
Experiments missing this file were not included in the search.

CellLine Target    Experiment  File       
K562     KHDRBS1   ENCSR023HWI ENCFF211XVR
K562     KHSRP     ENCSR561CBC ENCFF645NUN
K562     KIF1C     ENCSR823WTA ENCFF466ZOK
K562     KRR1      ENCSR244SIO ENCFF265DDR
K562     LARP4     ENCSR866XLI ENCFF978RNO
K562     LARP7     ENCSR770OWW ENCFF924LZP
K562     LIN28B    ENCSR598YQX ENCFF587YDY
K562     LSM11     ENCSR762FEO ENCFF604JQZ
K562     MAGOH     ENCSR849STR ENCFF125HDY
K562     MAK16     ENCSR517JHY ENCFF724GUC
K562     MATR3     ENCSR792XFP ENCFF250FEM
K562     MBNL1     ENCSR222COT ENCFF692CYY
K562     METAP2    ENCSR952QDQ ENCFF368CXX
K562     MSI2      ENCSR169QQW ENCFF255KSM
K562     MTPAP     ENCSR631RFX ENCFF163XRC
K562     NAA15     ENCSR945GUR ENCFF095HAO
K562     NCBP2     ENCSR361LBE ENCFF598CLI
K562     NELFE     ENCSR201WFU ENCFF471ZRU
K562     NFX1      ENCSR007XKL ENCFF678SJQ
K562     NOL12     ENCSR227AVS ENCFF830PQW
K562     NONO      ENCSR398HXV ENCFF922VKT
K562     NPM1      ENCSR346DZQ ENCFF872GLW
K562     NSUN2     ENCSR829EFL ENCFF211UUQ
K562     NUFIP2    ENCSR754RJA ENCFF582EDP
K562     NUSAP1    ENCSR927XBT ENCFF190ZDZ
K562     PA2G4     ENCSR309PPC ENCFF253GVU
K562     PABPC1    ENCSR192GBD ENCFF023FZU
K562     PABPC4    ENCSR047EEG ENCFF813HDB
K562     PABPN1    ENCSR416ZJH ENCFF411XGX
K562     PAPOLA    ENCSR368ZRP            
K562     PARN      ENCSR306IOF ENCFF380RSW
K562     PCBP1     ENCSR545AIK ENCFF678PSD
K562     PCBP2     ENCSR648QFY ENCFF813YGH
K562     PES1      ENCSR891DYO ENCFF037GLZ
K562     PHF6      ENCSR322XVS ENCFF133LGV
K562     PKM       ENCSR978CSQ ENCFF097BUP
K562     PNPT1     ENCSR191VWK ENCFF165WDM
K562     POLR2G    ENCSR936TED            
K562     PPIG      ENCSR529MBZ ENCFF896QBX
K562     PPIL4     ENCSR556FNN ENCFF089MXA
K562     PPP1R8    ENCSR844QNT ENCFF851KQP
K562     PRPF6     ENCSR783LUA ENCFF858SGI
K562     PRPF8     ENCSR137HKS ENCFF279QZK
K562     PSIP1     ENCSR611LQB ENCFF921FNN
K562     PTBP1     ENCSR527IVX ENCFF316AAS
K562     PTBP1     ENCSR239BCO ENCFF316AAS
K562     PUF60     ENCSR558XNA ENCFF457QMW
K562     PUM1      ENCSR745WVZ ENCFF392JZH
K562     PUM2      ENCSR118XYK ENCFF537WVS
K562     PUS1      ENCSR618IQH ENCFF979PQM
K562     QKI       ENCSR256PLH ENCFF096LJD
K562     RAVER1    ENCSR904BCZ ENCFF377FQF
K562     RBFOX2    ENCSR336DFS ENCFF128FXL
K562     RBM15     ENCSR385UPQ ENCFF571OGX
K562     RBM17     ENCSR898OPN ENCFF639THW
K562     RBM22     ENCSR947OIM ENCFF349MKR
K562     RBM25     ENCSR149DMY ENCFF798CLR
K562     RBM3      ENCSR675KPR            
K562     RBM34     ENCSR560AYQ ENCFF617BWZ
K562     RBM39     ENCSR678WOA ENCFF076DKC
K562     RCC2      ENCSR921KDS ENCFF976XXO
K562     RECQL     ENCSR310VND ENCFF828GXG
K562     RECQL     ENCSR014VQS ENCFF828GXG
K562     RPS10     ENCSR004RGI ENCFF095WOT
K562     RPS19     ENCSR098NHI ENCFF025WLS
K562     RPS3A     ENCSR788YGG ENCFF882JPH
K562     RRP9      ENCSR210KJB ENCFF007FYS
K562     RTF1      ENCSR783YSQ ENCFF215IBE
K562     SAFB2     ENCSR770LYW ENCFF614ESP
K562     SART3     ENCSR954HAY ENCFF671PEQ
K562     SBDS      ENCSR219DXZ ENCFF219NYW
K562     SERBP1    ENCSR925RNE ENCFF815LYM
K562     SF1       ENCSR628JYB            
K562     SF1       ENCSR562CCA            
K562     SF3A3     ENCSR454KYR ENCFF178MQD
K562     SF3B1     ENCSR047QHX ENCFF182FXU
K562     SF3B4     ENCSR081XRA ENCFF306LGJ
K562     SFPQ      ENCSR535YPK ENCFF433SCM
K562     SLBP      ENCSR112YTD ENCFF346XLY
K562     SLTM      ENCSR234YMW ENCFF007NMP
K562     SMN1      ENCSR129ROE ENCFF663LPH
K562     SMNDC1    ENCSR408SDL ENCFF345TUX
K562     SND1      ENCSR232XRZ ENCFF202NVK
K562     SNRNP200  ENCSR943LIB ENCFF867EPW
K562     SRFBP1    ENCSR813NZP ENCFF740EME
K562     SRP68     ENCSR312SRB ENCFF429LSI
K562     SRPK2     ENCSR524YXQ ENCFF703HQJ
